categories,description,hauteur,largeur,longueur,name,poids,prix,sku,stock,tags,url
atrocious,"Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",,,,Gyarados,518.1,79.0,9629,100,atrocious,https://scrapeme.live/shop/Gyarados/
fish,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.",2,2,2,Magikarp,22.0,43.0,6706,126,fish,https://scrapeme.live/shop/Magikarp/
pokemon,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",4,4,4,Tauros,194.9,63.0,2149,298,intimidate,https://scrapeme.live/shop/Tauros/
pokemon,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.",4,4,4,Pinsir,121.3,141.0,2091,29,hyper cutter,https://scrapeme.live/shop/Pinsir/
pokemon,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.",4,4,4,Magmar,98.1,130.0,8655,16,flame body,https://scrapeme.live/shop/Magmar/
electric,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",3,3,3,Electabuzz,66.1,125.0,7699,63,electabuzz,https://scrapeme.live/shop/Electabuzz/
barrier,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",4,4,4,Mr-mime,120.1,144.0,9469,105,barrier,https://scrapeme.live/shop/Mr-mime/
mysterious,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.,3,3,3,Starmie,176.4,176.0,7984,283,mysterious,https://scrapeme.live/shop/Starmie/
pokemon,"Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs.",2,2,2,Staryu,76.1,166.0,7802,292,natural cure,https://scrapeme.live/shop/Staryu/
goldfish,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.,4,4,4,Seaking,86.0,129.0,9260,226,goldfish,https://scrapeme.live/shop/Seaking/
goldfish,"Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.",2,2,2,Goldeen,33.1,170.0,3144,117,goldeen,https://scrapeme.live/shop/Goldeen/
dragon,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.",3,3,3,Seadra,55.1,51.0,2148,45,dragon,https://scrapeme.live/shop/Seadra/
pokemon,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",8,8,8,Lapras,485.0,172.0,7759,89,lapras,https://scrapeme.live/shop/Lapras/
flame,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",6,6,6,Moltres,132.3,178.0,2571,208,flame,https://scrapeme.live/shop/Moltres/
electric,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,5,5,5,Zapdos,116.0,133.0,7213,265,electric,https://scrapeme.live/shop/Zapdos/
freeze,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",5,5,5,Articuno,122.1,77.0,6040,101,articuno,https://scrapeme.live/shop/Articuno/
pokemon,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,6,6,6,Snorlax,1014.1,134.0,9883,260,sleeping,https://scrapeme.live/shop/Snorlax/
fossil,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,5,5,5,Aerodactyl,130.1,56.0,1801,257,aerodactyl,https://scrapeme.live/shop/Aerodactyl/
pokemon,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,4,4,4,Kabutops,89.3,57.0,4736,228,kabutops,https://scrapeme.live/shop/Kabutops/
pokemon,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",1,1,1,Kabuto,25.4,79.0,9584,187,kabuto,https://scrapeme.live/shop/Kabuto/
pokemon,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",3,3,3,Omastar,77.2,61.0,3283,249,omastar,https://scrapeme.live/shop/Omastar/
pokemon,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",1,1,1,Omanyte,16.5,162.0,4569,13,omanyte,https://scrapeme.live/shop/Omanyte/
pokemon,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,2,2,2,Porygon,80.5,178.0,7940,156,porygon,https://scrapeme.live/shop/Porygon/
flame,"Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",2,2,2,Flareon,55.1,34.0,8149,142,flame,https://scrapeme.live/shop/Flareon/
lightning,"Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",2,2,2,Jolteon,54.0,158.0,4119,37,jolteon,https://scrapeme.live/shop/Jolteon/
bubble jet,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,3,3,3,Vaporeon,63.9,147.0,5437,226,bubble jet,https://scrapeme.live/shop/Vaporeon/
evolution,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,1,1,1,Eevee,14.3,112.0,3593,234,eevee,https://scrapeme.live/shop/Eevee/
pokemon,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",1,1,1,Ditto,8.8,75.0,5061,177,ditto,https://scrapeme.live/shop/Ditto/
dragon,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,7,7,7,Dragonite,463.0,69.0,9175,127,dragon,https://scrapeme.live/shop/Dragonite/
dragon,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,,,,Dragonair,36.4,57.0,5641,119,dragon,https://scrapeme.live/shop/Dragonair/
dragon,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,5,5,5,Dratini,7.3,94.0,2799,275,dragon,https://scrapeme.live/shop/Dratini/
long body,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",5,5,5,Furret,71.6,154.0,4876,85,furret,https://scrapeme.live/shop/Furret/
big jaw,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",7,7,7,Feraligatr,195.8,183.0,9344,175,big jaw,https://scrapeme.live/shop/Feraligatr/
pokemon,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",2,2,2,Sentret,13.2,48.0,2687,83,keen eye,https://scrapeme.live/shop/Sentret/
big jaw,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",3,3,3,Croconaw,55.1,175.0,9299,255,big jaw,https://scrapeme.live/shop/Croconaw/
big jaw,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",2,2,2,Totodile,20.9,190.0,4342,285,big jaw,https://scrapeme.live/shop/Totodile/
pokemon,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,5,5,5,Typhlosion,175.3,191.0,5228,118,blaze,https://scrapeme.live/shop/Typhlosion/
pokemon,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,2,2,2,Quilava,41.9,85.0,6999,263,blaze,https://scrapeme.live/shop/Quilava/
fire mouse,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",1,1,1,Cyndaquil,17.4,154.0,3987,184,blaze,https://scrapeme.live/shop/Cyndaquil/
herb,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",5,5,5,Meganium,221.6,163.0,5778,71,herb,https://scrapeme.live/shop/Meganium/
leaf,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,3,3,3,Bayleef,34.8,44.0,1272,299,bayleef,https://scrapeme.live/shop/Bayleef/
leaf,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",2,2,2,Chikorita,14.1,127.0,2657,98,chikorita,https://scrapeme.live/shop/Chikorita/
new species,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",1,1,1,Mew,8.8,136.0,4382,152,mew,https://scrapeme.live/shop/Mew/
genetic,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.",6,6,6,Mewtwo,269.0,43.0,4630,78,genetic,https://scrapeme.live/shop/Mewtwo/
pokemon,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.,,,,Natu,4.4,99.0,2942,36,natu,https://scrapeme.live/shop/Natu/
mystic,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,4,4,4,Xatu,33.1,123.0,7616,196,mystic,https://scrapeme.live/shop/Xatu/
happiness,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.",2,2,2,Togetic,7.1,69.0,9410,293,happiness,https://scrapeme.live/shop/Togetic/
pokemon,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.",1,1,1,Togepi,3.3,47.0,1684,264,serene grace,https://scrapeme.live/shop/Togepi/
balloon,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,1,1,1,Igglybuff,2.2,189.0,2662,170,balloon,https://scrapeme.live/shop/Igglybuff/
pokemon,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.",1,1,1,Cleffa,6.6,107.0,2794,187,cleffa,https://scrapeme.live/shop/Cleffa/
pokemon,"When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",1,1,1,Pichu,4.4,193.0,4987,64,pichu,https://scrapeme.live/shop/Pichu/
light,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.",3,3,3,Lanturn,49.6,131.0,7579,218,illuminate,https://scrapeme.live/shop/Lanturn/
angler,"Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.",1,1,1,Chinchou,26.5,59.0,2651,130,angler,https://scrapeme.live/shop/Chinchou/
bat,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,5,5,5,Crobat,165.3,195.0,6120,245,bat,https://scrapeme.live/shop/Crobat/
long leg,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,3,3,3,Ariados,73.9,85.0,9759,50,ariados,https://scrapeme.live/shop/Ariados/
pokemon,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,1,1,1,Spinarak,18.7,199.0,4388,136,spinarak,https://scrapeme.live/shop/Spinarak/
five star,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.",4,4,4,Ledian,78.5,136.0,1806,65,five star,https://scrapeme.live/shop/Ledian/
five star,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.,3,3,3,Ledyba,23.8,98.0,3874,83,five star,https://scrapeme.live/shop/Ledyba/
owl,"Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.",5,5,5,Noctowl,89.9,170.0,9939,10,keen eye,https://scrapeme.live/shop/Noctowl/
owl,"Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.",2,2,2,Hoothoot,46.7,48.0,4691,204,hoothoot,https://scrapeme.live/shop/Hoothoot/
flower,"A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.",1,1,1,Bellossom,12.8,25.0,7003,234,bellossom,https://scrapeme.live/shop/Bellossom/
pokemon,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.",1,1,1,Wooper,18.7,98.0,4198,48,damp,https://scrapeme.live/shop/Wooper/
pokemon,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,2,2,2,Sunflora,18.7,33.0,7947,163,chlorophyll,https://scrapeme.live/shop/Sunflora/
clear wing,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,3,3,3,Yanma,83.8,130.0,8321,130,clear wing,https://scrapeme.live/shop/Yanma/
pokemon,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",1,1,1,Sunkern,4.0,150.0,4061,255,chlorophyll,https://scrapeme.live/shop/Sunkern/
long tail,"Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.",2,2,2,Aipom,25.4,182.0,8103,92,aipom,https://scrapeme.live/shop/Aipom/
cottonweed,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,2,2,2,Jumpluff,6.6,107.0,2168,235,chlorophyll,https://scrapeme.live/shop/Jumpluff/
cottonweed,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",2,2,2,Skiploom,2.2,185.0,2616,94,chlorophyll,https://scrapeme.live/shop/Skiploom/
cottonweed,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",1,1,1,Hoppip,1.1,107.0,1154,266,chlorophyll,https://scrapeme.live/shop/Hoppip/
frog,"The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.",3,3,3,Politoed,74.7,193.0,9168,261,damp,https://scrapeme.live/shop/Politoed/
imitation,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.",3,3,3,Sudowoodo,83.8,54.0,1558,147,imitation,https://scrapeme.live/shop/Sudowoodo/
aqua rabbit,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,2,2,2,Azumarill,62.8,175.0,9464,300,aqua rabbit,https://scrapeme.live/shop/Azumarill/
aqua mouse,"When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.",1,1,1,Marill,18.7,127.0,4728,55,aqua mouse,https://scrapeme.live/shop/Marill/
light,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,4,4,4,Ampharos,135.6,41.0,2141,247,ampharos,https://scrapeme.live/shop/Ampharos/
pokemon,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,2,2,2,Flaaffy,29.3,163.0,9291,64,flaaffy,https://scrapeme.live/shop/Flaaffy/
pokemon,"Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.",2,2,2,Mareep,17.2,79.0,2016,152,mareep,https://scrapeme.live/shop/Mareep/
pokemon,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,2,2,2,Espeon,58.4,177.0,9676,153,espeon,https://scrapeme.live/shop/Espeon/
mold,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.",2,2,2,Shuckle,45.2,194.0,7903,74,mold,https://scrapeme.live/shop/Shuckle/
pincer,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,5,5,5,Scizor,260.1,172.0,9056,198,pincer,https://scrapeme.live/shop/Scizor/
balloon,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",1,1,1,Qwilfish,8.6,77.0,3335,297,balloon,https://scrapeme.live/shop/Qwilfish/
fairy,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.",4,4,4,Granbull,107.4,59.0,7346,171,fairy,https://scrapeme.live/shop/Granbull/
fairy,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.",2,2,2,Snubbull,17.2,63.0,3961,164,fairy,https://scrapeme.live/shop/Snubbull/
iron snake,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,,,,Steelix,881.8,116.0,4345,157,iron snake,https://scrapeme.live/shop/Steelix/
fly scorpion,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",3,3,3,Gligar,142.9,112.0,5090,140,fly scorpion,https://scrapeme.live/shop/Gligar/
patient,"Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.",4,4,4,Wobbuffet,62.8,107.0,6138,113,patient,https://scrapeme.live/shop/Wobbuffet/
long neck,"Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.",4,4,4,Girafarig,91.5,99.0,7871,31,girafarig,https://scrapeme.live/shop/Girafarig/
pokemon,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",1,1,1,Unown,11.0,198.0,9561,47,levitate,https://scrapeme.live/shop/Unown/
pokemon,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.",2,2,2,Misdreavus,2.2,33.0,9272,207,levitate,https://scrapeme.live/shop/Misdreavus/
pokemon,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.",6,6,6,Slowking,175.3,174.0,9664,55,oblivious,https://scrapeme.live/shop/Slowking/
darkness,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,1,1,1,Murkrow,4.6,178.0,2223,246,darkness,https://scrapeme.live/shop/Murkrow/
moonlight,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,3,3,3,Umbreon,59.5,78.0,4995,186,moonlight,https://scrapeme.live/shop/Umbreon/
pokemon,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.",4,4,4,Quagsire,165.3,37.0,2688,292,damp,https://scrapeme.live/shop/Quagsire/
hibernator,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",5,5,5,Ursaring,277.3,31.0,7576,209,guts,https://scrapeme.live/shop/Ursaring/
little bear,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,2,2,2,Teddiursa,19.4,173.0,7681,274,little bear,https://scrapeme.live/shop/Teddiursa/
dragon,"Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.",5,5,5,Kingdra,335.1,124.0,7090,206,dragon,https://scrapeme.live/shop/Kingdra/
dark,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.",4,4,4,Houndoom,77.2,78.0,2081,40,dark,https://scrapeme.live/shop/Houndoom/
armor bird,"Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.",5,5,5,Skarmory,111.3,199.0,1057,102,armor bird,https://scrapeme.live/shop/Skarmory/
dark,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.,2,2,2,Houndour,23.8,144.0,7965,184,dark,https://scrapeme.live/shop/Houndour/
kite,"On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.",6,6,6,Mantine,485.0,114.0,3704,195,kite,https://scrapeme.live/shop/Mantine/
delivery,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.",2,2,2,Delibird,35.3,121.0,6280,141,delibird,https://scrapeme.live/shop/Delibird/
jet,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.",2,2,2,Octillery,62.8,94.0,9000,150,jet,https://scrapeme.live/shop/Octillery/
jet,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.",2,2,2,Remoraid,26.5,122.0,4952,46,jet,https://scrapeme.live/shop/Remoraid/
coral,"Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.",2,2,2,Corsola,11.0,27.0,5281,162,coral,https://scrapeme.live/shop/Corsola/
pokemon,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,3,3,3,Piloswine,123.0,84.0,4003,276,oblivious,https://scrapeme.live/shop/Piloswine/
pig,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,1,1,1,Swinub,14.3,132.0,8647,250,oblivious,https://scrapeme.live/shop/Swinub/
lava,"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",2,2,2,Magcargo,121.3,36.0,3917,210,flame body,https://scrapeme.live/shop/Magcargo/
pokemon,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,2,2,2,Sneasel,61.7,108.0,5017,141,keen eye,https://scrapeme.live/shop/Sneasel/
pokemon,"Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.",4,4,4,Heracross,119.0,143.0,9256,49,heracross,https://scrapeme.live/shop/Heracross/
painter,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.",3,3,3,Smeargle,127.9,151.0,6497,56,painter,https://scrapeme.live/shop/Smeargle/
big horn,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",4,4,4,Stantler,157.0,33.0,3706,278,big horn,https://scrapeme.live/shop/Stantler/
pokemon,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.,2,2,2,Porygon2,71.6,151.0,4420,210,porygon2,https://scrapeme.live/shop/Porygon2/
pokemon,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.",2,2,2,Larvitar,158.7,26.0,9302,31,guts,https://scrapeme.live/shop/Larvitar/
aurora,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,6,6,6,Suicune,412.3,68.0,8586,275,aurora,https://scrapeme.live/shop/Suicune/
pokemon,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,6,6,6,Entei,436.5,27.0,9592,36,entei,https://scrapeme.live/shop/Entei/
pokemon,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,6,6,6,Raikou,392.4,66.0,5989,276,pressure,https://scrapeme.live/shop/Raikou/
happiness,"Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.",4,4,4,Blissey,103.2,31.0,8632,289,blissey,https://scrapeme.live/shop/Blissey/
milk cow,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.,3,3,3,Miltank,166.4,26.0,1586,12,milk cow,https://scrapeme.live/shop/Miltank/
live coal,"Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.",2,2,2,Magby,47.2,40.0,5864,21,flame body,https://scrapeme.live/shop/Magby/
kiss,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.",1,1,1,Smoochum,13.2,166.0,7637,116,kiss,https://scrapeme.live/shop/Smoochum/
